longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,top_of_target_depth_ft,water_depth_ft,material,Type (New),Class (New),Subclass (New),target_description,css_surveyed,css_survey_date,css_dimensions,css_water_depth_ft,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_history_url,dcs_video_url,luvm_url,sc_newly_uncovered,sc_rov_dive_date,sc_top_of_target_ft,sc_water_depth_ft,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.3426982,47.6465455,LU011,Debris Field,Debris,Large Tire Sanding Up & Debris Item,NA,#N/A,40,Mixed (Debris),Debris,Man Made,"N/A, Mixed Materials","Type: Debris | Class: Man Made | Subclass: Mixed Materials
Shipwreck City Data
This target has been classified as debris, resting in 40 feet of water. The dive shows a large tire partially embedded in silt near a substantial squared timber, likely a piling or bollard, with a metal ring or eye fitting set into its top and a length of chain or rope looped through it. Scattered debris, including what appears to be a can and other discarded items, surrounds the site.
Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU11, described the same way.",Yes,NA,NA,40,No,Large Tire Sanding Up & Debris Item,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU11,NA,NA,NA,NA,NA,NA,,NA,no,2June2026,,,NA,First Footage,No Footage,Pacific Coast Yachting Services
-122.3428997,47.6466034,LU012,Kahlenberg,Shipwreck,Boat,55' x 14',#N/A,40,Wood,Vessel,Shipwreck,Wood,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden boat, resting in 40 feet of water and measuring roughly 55 feet by 14 feet. The dive shows the bow and stern sections largely intact, with structural ribs and framing visible, though the midship area is heavily broken down. A prominent gun mount fitting is visible on the bow, along with hardware including a diamond-shaped fastener and various fittings along the hull. Sponge-like growth colonizes parts of the exposed wood, and a red plastic cup rests among the wreckage, along with visible x-braced framing near the stern.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU12. DCS Films documents it in detail as the Kahlenberg: built in 1913, 50 feet long and 11 feet wide, first used by the U.S. Navy as a tender in Oriental waters, likely during WWI, with the gun mount on the bow a legacy of that service. After being struck from the naval register, it was sold to Kahlenberg Industries Inc., a maker of fishing and towboat engines, who used it as a demonstration boat. Captain Franz Nelson later bought it in Alaska and brought it to Puget Sound to work as a shrimp boat in Elliott Bay, one of several vessels that fished over deep wreck sites there. Its drag net was 15 feet wide and 25 feet long, run off 600 feet of cable by a steam-powered winch, reaching depths of 180 to 300 feet on hauls that covered a quarter mile in about 30 minutes. Nelson ran the boat for years with his wife Elsie and sometimes his son Bill as crew, drawing local press coverage, including one occasion when Ivar Haglund helped bring in a 60-pound octopus pulled up in the net. It was later identified on the bottom of Lake Union by the Maritime Documentation Society and DCS Films, with its midship section destroyed and only the bow and stern remaining, matching what Shipwreck City's own imagery shows.",Yes,NA,55' x 14',40,Yes,Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU12,13,yes,NA,NA,NA,http://www.dcsfilms.com/Site_4/Wreck_of_the_Kahlenberg.html,https://vimeo.com/30358393?fl=pl&fe=sh,NA,no,2June2026,,,NA,Updated Footage,Historical Footage,Pacific Coast Yachting Services
-122.3415702,47.64702,LU013,Shipwreck,Shipwreck,Shipwreck,TBD,#N/A,40,Unknown,Vessel,Shipwreck,Unknown Material,"Unknown (LU013)
Type: Vessel | Class: Shipwreck | Subclass: Unknown Material

Shipwreck City Data
This target has been classified as a shipwreck, resting in 40 feet of water, with dimensions still to be determined. Shipwreck City has not yet dived or photographed this target; it is known only through Coastal Sensing & Survey's original log entry.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU13, though no additional narrative accompanies the entry.",Yes,NA,TBD,40,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU13,NA,NA,NA,NA,NA,NA,,NA,no,NA,,,NA,No Footage,No Footage,Divers Institute of Technology
-122.3409251,47.6470662,LU014,Shipwreck,Shipwreck,Shipwreck Under Docks,TBD,#N/A,40,Unknown,Vessel,Shipwreck,Unknown Material,"Unknown (LU014)
Type: Vessel | Class: Shipwreck | Subclass: Unknown Material

Shipwreck City Data
This target has been classified as a shipwreck under docks, resting in 40 feet of water, with dimensions still to be determined. Shipwreck City has not yet dived or photographed this target; it is known only through Coastal Sensing & Survey's original log entry.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU14, though no additional narrative accompanies the entry.",Yes,NA,TBD,40,No,Shipwreck Under Docks,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU14,NA,NA,NA,NA,NA,NA,,NA,no,NA,,,NA,No Footage,No Footage,Divers Institute of Technology
-122.3449945,47.6473064,LU015,Wood Boat / Tug,Shipwreck,Large wood boat/Tug,75' x 18' Approx,#N/A,40,Wood,Vessel,Shipwreck,Wood,"Unknown (LU015)
Type: Vessel | Class: Shipwreck | Subclass: Wood

Shipwreck City Data
Note: this target has not yet been explored by the Shipwreck City team. This target has been classified as a large wooden boat, possibly a tug, resting in 40 feet of water, with a recorded dimension of approximately 75 feet by 18 feet, per Coastal Sensing & Survey's log.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU15. DCS Films also documents it, recording it at 70 feet long with a 12 foot beam, smaller than Shipwreck City's recorded dimension, a discrepancy that should be reconciled on a future dive. DCS Films' footage includes an illustrated reconstruction of the vessel, rather than a photograph, depicting a wooden hull with a pilothouse structure amidships, a pointed, upswept bow with a visible stem, and several deck hatches.",Yes,NA,75' x 18' Approx,40,Yes,Large wood boat/Tug,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU15,42,yes,NA,70 x 12,"70' length, 12' wide",http://www.dcsfilms.com/Site_4/Lake_Union_shipwrecks.html,,NA,no,NA,,,NA,Historical Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3452354,47.6472315,LU016,Shipwreck,Shipwreck,Shipwreck,21' x 8',#N/A,40,Unknown,Vessel,Shipwreck,Unknown Material,"Unknown (LU016)
Type: Vessel | Class: Shipwreck | Subclass: Unknown Material

Shipwreck City Data
This target has been classified as a shipwreck, resting in 40 feet of water, with a recorded dimension of 21 feet by 8 feet. Shipwreck City has not yet dived or photographed this target; it is known only through Coastal Sensing & Survey's original log entry.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU16, though no additional narrative accompanies the entry.",Yes,NA,21' x 8',40,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU16,NA,NA,NA,NA,NA,NA,,NA,no,NA,,,NA,No Footage,No Footage,Fremont Tugboat Piers ?
-122.3451279,47.6472004,LU017,Karinda,Shipwreck,Cabin Cruiser,21' x 8',#N/A,40,Fiberglass,Vessel,Shipwreck,Fiberglass,"Karinda (LU017)
Type: Vessel | Class: Shipwreck | Subclass: Fiberglass

Shipwreck City Data
Note: this target has not yet been explored by the Shipwreck City team. This target has been classified as a fiberglass cabin cruiser, resting in 40 feet of water, with a recorded dimension of 21 feet by 8 feet, per Coastal Sensing & Survey's log.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU17. DCS Films documents it by name as Contact 37, the Karinda, recording it at 20 feet by 8 feet, close to Shipwreck City's recorded dimension. DCS Films' footage shows a registration number, ""WN 911 A,"" on the transom, along with a pointed bow with a hatch opening, cabin windows along the hull, and a railing and post structure on deck.",Yes,NA,21' x 8',40,Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU17,37,yes,NA,20' x 8',"20' length, 8' width",http://www.dcsfilms.com/Site_4/Lake_Union_boats_sink.html,https://vimeo.com/35357451?fl=pl&fe=sh,NA,no,NA,,,NA,Historical Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3449389,47.647163,LU018,HI-YU-ALL,Shipwreck,Shipwreck,25' x 8',#N/A,40,Fiberglass,Vessel,Shipwreck,Fiberglass,"HI-YU-ALL (LU018)
Type: Vessel | Class: Shipwreck | Subclass: Fiberglass

Shipwreck City Data
Note: this target has not yet been explored by the Shipwreck City team. This target has been classified as a shipwreck, resting in 40 feet of water, with a recorded dimension of 25 feet by 8 feet, per Coastal Sensing & Survey's log.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU18, though no additional narrative accompanies the entry. DCS Films documents it by name, recording it at 24 feet by 8 feet, close to Shipwreck City's recorded dimension. DCS Films' footage clearly shows the painted name ""HI-YU-ALL"" on the transom, confirming the vessel's identity, along with a rubrail running along the hull, a propeller and rudder assembly at the stern, and a square deck hatch.",Yes,NA,25' x 8',40,Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU18,38,yes,NA,24' x 8',"24' length, 8' width",http://www.dcsfilms.com/Site_4/Lake_Union_boats_sink.html,https://vimeo.com/35357451?fl=pl&fe=sh,NA,no,NA,,,NA,Historical Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3454721,47.6471583,LU019,Wood Cruiser,Shipwreck,Wood Craft,25 x 10,#N/A,40,Wood,Vessel,Shipwreck,Wood,"Wood Cruiser (No ID) (LU019)
Type: Vessel | Class: Shipwreck | Subclass: Wood

Shipwreck City Data
Note: this target has not yet been explored by the Shipwreck City team. This target has been classified as a wood craft, resting in 40 feet of water, with a recorded dimension of 15 feet by 7.5 feet, per Coastal Sensing & Survey's log.

Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU19, though no additional narrative accompanies the entry. DCS Films documents it as an unidentified wood craft, recording it at 25 feet by 10 feet, notably larger than Shipwreck City's recorded dimension, a discrepancy that should be reconciled on a future dive.",Yes,NA,15' x 7.5',40,Yes,Wood Craft,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU19,39,yes,NA,25' x 10',"Unidentified, 25' Length, 10' width",http://www.dcsfilms.com/Site_4/Lake_Union_boats_sink.html,https://vimeo.com/35357451?fl=pl&fe=sh,NA,no,NA,,,NA,No Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3467669,47.6483132,LU020,Possible Barge,Unknown,Possible Barge Under Silt,Unknown,#N/A,30,Unknown,Undetermined,N/A,N/A,Shipwreck City has yet to explore this target. See below resources for information. ,Yes,NA,TBD,30,No,Possible Barge Under Silt,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU20,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,,,NA,No Footage,No Footage,Lake Washington Rowing Club
-122.3293966,47.6506562,LU021,Steel Workboat,Shipwreck,Steel Workboat,Unknown,#N/A,30,Metal,Vessel,Shipwreck,Metal,"Type: Vessel | Class: Shipwreck | Subclass: Metal
Shipwreck City Data
This target has been classified as a steel workboat, resting in 30 feet of water. Visibility at the site was very poor, with most of the dive obscured by heavy sediment in the water column. In clearer frames, a flat steel deck section is visible with several vertical support legs or pilings extending down from its underside, along with a small fitting or hardware piece resting on the deck surface.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU21. The Lake Union Virtual Museum documents it as a 30-foot steel workboat, noting equipment on board that suggests it may have been a fireboat, with a fish seen swimming inside the cabin in underwater photos credited to diver Dan Warter from 2011. That page links to DCS Films' documentation of the DIT Boat, the same source referenced for target LU022, which may indicate the two targets refer to the same or a related wreck and should be reconciled on a future dive.",Yes,NA,TBD,30,Yes,Steel Workboat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU21,NA,NA,NA,NA,NA,NA,NA,NA,no,4May2026,,,NA,Updated Footage,Historical Footage,"Seattle Marina, Gas Works Brewing"
-122.34112,47.6470067,LU022,Metal Fire Boat,Shipwreck,Metal fire Boat,30.5 x 11,#N/A,Unknown,Metal,Vessel,Shipwreck,Metal,Shipwreck City has yet to explore this target. See below resources for information. ,Yes,NA,TBD,Unknown,Yes,Metal fire Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU22,34,yes,NA,30.5' x 11',"Steel Boat, Divers Institute of Technology Wreck, 30.5' long, 11' wide",http://www.dcsfilms.com/Site_4/DIT_Boat.html,https://vimeo.com/31992353?fl=pl&fe=sh,NA,no,NA,,,NA,Historical Footage,Historical Footage,Divers Institute of Technology
-122.3465156,47.6485336,LU023,Small Wood Barge,Barge,Small wood barge,12 x 5,#N/A,30,Wood,Vessel,Barge Wreck,Wood,Shipwreck City has yet to explore this target. See below resources for information. ,Yes,NA,33' x 10',30,Yes,Small wood barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU23,40,yes,NA,12 x 5 x 4,"12' length, 5' width, 4' height",http://www.dcsfilms.com/Site_4/Lake_Union_boats_sink.html,https://vimeo.com/35357451?fl=pl&fe=sh,NA,no,NA,,,NA,Historical Footage,Historical Footage,Lake Washington Rowing Club
-122.3482614,47.6466882,LU024,Bowspirit Boat,Shipwreck,Bowsprit Boat,33' x 10',#N/A,40,Mixed (Metal and Wood),Vessel,Shipwreck,"Wood, Metal","Type: Vessel | Class: Shipwreck | Subclass: Metal
Shipwreck City Data
This target has been classified as a bowsprit boat, resting in 40 feet of water, with a recorded dimension of 40 feet by 25 feet. Shipwreck City has now dived and photographed the site, with moderate visibility throughout. Dive footage shows a pointed bow structure where two heavily encrusted members converge, with copper-toned staining at the joint, a fan of exposed wood framing nearby, and a boxed structure with two square openings that may be the remains of a deckhouse. Side-scan sonar imagery shows an elongated footprint with a pointed projection matching the bow feature seen in the dive photos.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU24, though no additional narrative accompanies the entry. DCS Films has dove this wreck.",Yes,NA,40' x 25',40,Yes,Bowsprit Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU24,0,NA,NA,NA,Old bowspirit sailboat,http://www.dcsfilms.com/Site_4/Lake_Union_Sailboat.html,https://vimeo.com/30735834?fl=pl&fe=sh,http://www.lakeunionhistory.org/Large_Sailboat.html,no,5May2026,,,NA,Updated Footage,Historical Footage,Boat
-122.346582,47.6461166,LU025,Log Pile,Debris,Log Pile,40' x 25',#N/A,40,Wood,Debris,Man Made,Wood,"Type: Debris | Class: Man Made | Subclass: Wood
Shipwreck City Data
This target has been classified as a log pile, resting in 40 feet of water, with a recorded dimension of 28 feet by 8.5 feet. Dive footage shows at least two large logs resting across one another, with a cut, circular end face visible on one log showing distinct growth rings beneath a coating of biofouling. Visibility at the site was poor, with heavy particulate throughout the water column.
Prior Research and Theories
This target has been historically explored and logged by Coastal Sensing & Survey under LU25. DCS Films also documents it as a pile of logs, recording it at approximately 25 feet long and 30 feet wide, notably wider than Shipwreck City's own recorded dimension, a discrepancy that should be reconciled on a future dive.",Yes,NA,28' x 8.5',40,No,Log Pile,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU25,1,yes,NA,approx 25' x 30',"Pile of logs, approx 25' long, 30' 'wide",http://www.dcsfilms.com/Site_4/Lake_Union_logs.html,https://vimeo.com/32129068?fl=pl&fe=sh,NA,no,2June2026,,,NA,Updated Footage,Historical Footage,Boat
-122.3443114,47.6447966,LU026,***Quinn II,Shipwreck,Pleasure craft,28' x 8.5',#N/A,40,Fiberglass,Vessel,Shipwreck,Fiberglass,"Type: Vessel | Class: Shipwreck | Subclass: Fiberglass
Shipwreck City Data
This target has been classified as a fiberglass pleasure craft, resting in 40 feet of water, with a recorded dimension of 28 feet by 8.5 feet. Shipwreck City has now dived and photographed the site, with visibility ranging from moderate to very poor depending on the frame. The name ""Quinn II"" is a presumed identification based on lettering found on debris at the site, not a confirmed reading of hull markings. Dive footage shows a painted hull, white topsides over red-orange bottom paint worn through to bare material in patches, with a transom fitted with a round cap or fitting. Aquatic weeds have taken hold across the lakebed immediately around the wreck.
Prior Research and Theories
This target has been logged by Coastal Sensing & Survey under LU26, describing it simply as a small boat near the pilings of a marina, consistent with its recorded location near Rainier Marina (Boat World).",Yes,NA,TBD,40,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU26,NA,NA,NA,NA,NA,NA,,NA,no,15Apr2026,,,NA,First Footage,No Footage,Rainier Marina (Boat World)
